Title,Instruction,Yields,Preparation_min,Cooking_min,Meal_type,Cuisine,Energy_kj_portion,Energy_kcal_portion,Carbohydrate_g_portion,Protein_g_portion,Fat_g_portion,Fibre_g_portion,Sodium_mg_portion,Iron_mg_portion,B12_microg_portion,Iron_%rda_be_0-5m/f,Iron_%rda_be_6-9m/f,Iron_%rda_be_10-13m/f,Iron_%rda_be_14-60f,Iron_%rda_be_14-17m,Iron_%rda_be_18+m,Iron_%rda_be_60+f,Iron_%rda_uk_1-3m/f,Iron_%rda_uk_4-6m/f,Iron_%rda_uk_7-10m/f,Iron_%rda_uk_11-18m,Iron_%rda_uk_19-50m,Iron_%rda_uk_11-50f,Iron_%rda_uk_51+m/f,Iron_bioav%
Aromatic couscous,"Rub the courgette and red pepper slices with olive oil. Heat a griddle pan and griddle the courgette and pepper pieces for 2-3 minutes, turning frequently, until softened and lightly charred all over. Remove from the heat and chop up into small pieces.
Place the couscous into a large bowl. Add the courgette and pepper pieces and all the remaining ingredients and mix well.
To serve, place into a serving dish.",2,30,10,Main,Middle Eastern,1322.1875,313.915,45.43125,10.641,11.2475,3.64325,632.1675,2.599525,0,32.4940625,28.88361111,23.63204545,17.33016667,23.63204545,28.88361111,28.88361111,37.67427536,42.61516393,29.8795977,23.00464602,29.8795977,17.56435811,29.8795977,26.34834672
Aubergine and bean casserole,"Heat the oil in a heavy-based frying pan. Fry the onions and garlic on a medium heat for five minutes or until golden-brown and softened.
Add the mushrooms and aubergines and cook for 10 minutes.
Stir in the borlotti beans, muscovado sugar, paprika, vegetable stock, molasses, tomato ketchup, mustard, sherry vinegar and parsley and bring to the boil. Cover and simmer for 45 minutes.
Serve with flatbreads.",6,30,60,Side,European,1032.195,243.9583333,44.455,9.749833333,4.356833333,6.8475,307.93,3.596333333,0,44.95416667,39.95925926,32.69393939,23.97555556,32.69393939,39.95925926,39.95925926,52.12077295,58.95628415,41.33716475,31.8259587,41.33716475,24.29954955,41.33716475,5.035619216
Aubergine and red pepper Greek salad,"Preheat the oven to 220C/200F/Gas 7.
Carefully place the aubergine and the pepper against an open hob gas flame, carefully turning regularly with tongs until the skin is blackened and blistered and the vegetables are soft. You can also do this under a very hot grill or barbecue, keeping very close to the heat and turning the vegetables every few minutes.
Place the vegetables in a heat-proof bowl, cover with a plate and leave for 3-4 minutes or until cool enough to handle. Remove the pepper skin and discard. Cut the pepper in half, remove the stem and scoop out the seeds. Cut the flesh into roughly 2cm/¾in chunks and put into a serving bowl.
Put the aubergine on a chopping board, trim the ends and discard most of the skin. Leaving some on will give the salad a smoky flavour. Cut the aubergine into roughly 2cm/¾in chunks and add to the pepper.
Put the parsley, garlic, olive oil and salt into a blender and pulse to make a thin dressing. Spread 1 teaspoon of the herb dressing over one side of each slice of bread and place on a baking tray, herb side up. Drizzle with a little oil and bake for 10 minutes, or until the bread is golden-brown and crisp around the edges.
Drizzle the rest of the dressing over the vegetables, add the lemon juice, season with ground black pepper and a little more salt if needed and toss together.
Sprinkle roughly chopped parsley over the salad and serve with the garlic toasts.",2,30,30,Main,European,3542.9,850.6,64.09,11.8815,62.7405,5.313,801.075,3.5471,0,44.33875,39.41222222,32.24636364,23.64733333,32.24636364,39.41222222,39.41222222,51.40724638,58.14918033,40.77126437,31.39026549,40.77126437,23.96689189,40.77126437,25.23074062
Basil and parsley-dressed pasta,"Place the chopped herbs in a bowl with the olive oil and season with salt and freshly ground black pepper. Leave to infuse.
Cook the pasta according to the instructions on the packet. When the pasta is cooked, drain and stir in the oil and herbs. Serve immediately.",1,10,10,Main,European,3435.55,816.4,117.015,19.607,33.2165,0.1265,803.95,7.89455,0,98.681875,87.71722222,71.76863636,52.63033333,71.76863636,87.71722222,87.71722222,114.4137681,129.4188525,90.74195402,69.86327434,90.74195402,53.34155405,90.74195402,4.492872349
Bean soup with vegan pesto,"First make the pesto. Put all the pesto ingredients in a food processor and blend until it forms a vibrant green paste with a little crunch. Adjust the seasoning to taste. Set aside.
To make the soup, heat the oil in a large saucepan or flameproof casserole and gently fry the onion, celery, courgette and carrots for 10 minutes, stirring occasionally. Add the garlic and cook for a few seconds more, stirring.
Tip the beans into the pan, add the vegetable stock and bring to a simmer. Cook for 5 minutes, then adjust the seasoning to taste and ladle into bowls.
Top with spoonfuls of the basil pesto to serve.",4,30,30,Main,European,1755.82875,421.8025,24.283875,13.633875,32.35925,11.2555,1534.8575,3.9831,0,49.78875,44.25666667,36.21,26.554,36.21,44.25666667,44.25666667,57.72608696,65.29672131,45.78275862,35.24867257,45.78275862,26.91283784,45.78275862,2.557622721
Beetroot hummus,"Toast the cumin seeds gently in a small dry frying pan for 2 minutes, stirring occasionally, then remove from the heat.
Put the beetroot, chickpeas, garlic, coriander, salt and olive oil in a food processor. Add the cumin seeds and lemon juice and season well with freshly ground black pepper. Blitz until smooth. Check the seasoning to taste, adding a little more salt, pepper or lemon juice if needed, and blitz again.
Use the hummus as a spread for sandwiches and wraps or as a dip. Keep covered in the fridge for up to 3 days, or freeze.",8,30,0,Side,Middle Eastern,1129.29375,269.55,27.830625,9.685875,14.757,9.881625,51.90375,3.0159,0,37.69875,33.51,27.41727273,20.106,27.41727273,33.51,33.51,43.70869565,49.44098361,34.66551724,26.68938053,34.66551724,20.3777027,34.66551724,5.708622836
Bruschetta with tomato and red onion,"Heat a griddle pan and rub the bread with olive oil. Place the bread onto the griddle and cook for two minutes on each side, or until toasted.
For the topping, place the red onion, tomatoes and olive oil into a bowl and mix well.
Add the parsley and season, to taste, with salt and freshly ground black pepper.
To serve, place the toasted bread on the plate and spoon over the topping.",1,10,10,Main,European,2034.04,487.46,45.58,8.259,31.5725,3.4765,1144.58,2.54705,0,31.838125,28.30055556,23.155,16.98033333,23.155,28.30055556,28.30055556,36.91376812,41.75491803,29.27643678,22.54026549,29.27643678,17.2097973,29.27643678,12.39226147
Cape Malay vegetarian curry,"Toast the spices in a dry frying pan over a low heat. Grind in a spice grinder or pestle and mortar. Place in a jar and seal tightly with a lid ready to use.
Put the dried apricots in a bowl of warm water for 10 minutes, or until rehydrated. Drain, cut into thin slices and set aside.
Heat the oil in a frying pan over a medium heat. Add the onions, peppers and garlic and fry for 10 minutes, or until soft.
Stir in a tablespoon of the spice mix. Add the cauliflower, chickpeas and green beans. Carefully pour in a little boiling water and simmer for 10-15 minutes, or until soft.
Meanwhile, cook the rice according to the packet instructions.
Stir the dried apricots and chutney into the curry and sprinkle over the parsley. Serve with the rice and flatbreads.",4,30,60,Main,Asian,3246.3825,764.165,157.66225,24.8535,9.32775,12.5095,509.52,8.409175,0,105.1146875,93.43527778,76.44704545,56.06116667,76.44704545,93.43527778,93.43527778,121.8721014,137.8553279,96.65718391,74.41747788,96.65718391,56.81875,96.65718391,6.400264314
Chickpea pasta (Ciceri e tria),"Put the chickpeas, garlic, leek, celery, onion, cherry tomatoes, dried chilli and rosemary in a large saucepan and cover with water. Bring to the boil and simmer for about an hour, or until the chickpeas are tender.
Meanwhile, to make the pasta, tip the semolina, flour and a pinch of salt into a food processor and blend while slowly adding up to 150ml/5fl oz water until you have a soft dough.
Knead the dough lightly then divide into four balls and pass each piece through a pasta machine slowly, changing the setting until it gets to number six. Cut each strip into 10cm/4in lengths about 2cm/1in thick, then toss in semolina flour and set aside on a tray.
Preheat a sandwich maker to high. One at a time, put the broccoli, leek and kale into the sandwich maker and char. Once all the vegetables are cooked, transfer to a bowl, add the oil and vinegar and season with salt and pepper. Set aside.
To make the sauce, remove the garlic, leeks, celery, onions, tomatoes and chilli from the chickpea pan and blend with 100ml/3½fl oz of the cooking water to a smooth paste. Drain the chickpeas and coat in the sauce.
Heat the olive oil in a deep saucepan and fry the garlic, rosemary and chilli until the garlic turns golden-brown. Remove from the pan, tip in a third of the pasta strips and fry until crisp and golden-brown. Drain on kitchen paper.
Bring a large pan of salted water to the boil and cook the rest of the pasta for 3-5 minutes, or until al dente. Drain and stir through the chickpea sauce. Season with salt and pepper and stir through some extra virgin olive oil, the parsley and half the fried pasta. Transfer to a serving dish and top with the remaining fried pasta. Serve with the chargrilled vegetables.",4,720,60,Main,European,3376.67125,807.785,77.022875,17.040125,50.119,9.018125,216.35875,4.2368875,0,52.96109375,47.07652778,38.51715909,28.24591667,38.51715909,47.07652778,47.07652778,61.40416667,69.45717213,48.69985632,37.49457965,48.69985632,28.62761824,48.69985632,10.12814829
Couscous salad,"Cover the couscous with twice its volume of hot water and leave to soak for 10 minutes.
Mix together with the remaining ingredients and leave to stand for 30 minutes to let the flavours develop.
Serve at room temperature.",6,30,0,Side,Middle Eastern,943.0583333,226.0833333,16.44916667,5.292833333,15.93691667,1.379416667,138.9166667,1.865341667,0,23.31677083,20.72601852,16.95765152,12.43561111,16.95765152,20.72601852,20.72601852,27.0339372,30.57937158,21.44070881,16.50744838,21.44070881,12.60365991,21.44070881,7.957241379
