title,url,instruction,Protein_g_portion,Fat_g_portion,Carbohydrate_g_portion,Energy_kcal_portion,Energy_kJ_portion,Calcium_mg_portion,VitC_mg_portion,Iron_mg_portion,yields,Iron_%RDA_BE_0-5M/F,Iron_%RDA_BE_6-9M/F,Iron_%RDA_BE_10-13M/F,Iron_%RDA_BE_14-60F,Iron_%RDA_BE_14-17M,Iron_%RDA_BE_18+M,Iron_%RDA_BE_60+F,Iron_%RDA_UK_1-3M/F,Iron_%RDA_UK_4-6M/F,Iron_%RDA_UK_7-10M/F,Iron_%RDA_UK_11-18M,Iron_%RDA_UK_19-50M,Iron_%RDA_UK_11-50F,Iron_%RDA_UK_51+M/F
Aromatic couscous,https://spoonacular.com/recipeImages/640238-312x231.jpg,"Rub the courgette and red pepper slices with olive oil. Heat a griddle pan and griddle the courgette and pepper pieces for 2-3 minutes, turning frequently, until softened and lightly charred all over. Remove from the heat and chop up into small pieces.
Place the couscous into a large bowl. Add the courgette and pepper pieces and all the remaining ingredients and mix well.
To serve, place into a serving dish.",10.641,11.2475,45.43125,313.915,1322.1875,74.9625,87.325,2.599525,2,32.4940625,28.88361111,23.63204545,17.33016667,23.63204545,28.88361111,28.88361111,37.67427536,42.61516393,29.8795977,23.00464602,29.8795977,17.56435811,29.8795977
Aubergine and bean casserole,https://spoonacular.com/recipeImages/782601-312x231.jpg,"Heat the oil in a heavy-based frying pan. Fry the onions and garlic on a medium heat for five minutes or until golden-brown and softened.
Add the mushrooms and aubergines and cook for 10 minutes.
Stir in the borlotti beans, muscovado sugar, paprika, vegetable stock, molasses, tomato ketchup, mustard, sherry vinegar and parsley and bring to the boil. Cover and simmer for 45 minutes.
Serve with flatbreads.",9.749833333,4.356833333,44.455,243.9583333,1032.195,101.2,5.983333333,3.596333333,6,44.95416667,39.95925926,32.69393939,23.97555556,32.69393939,39.95925926,39.95925926,52.12077295,58.95628415,41.33716475,31.8259587,41.33716475,24.29954955,41.33716475
Aubergine and red pepper Greek salad,https://spoonacular.com/recipeImages/634342-312x231.jpg,"Preheat the oven to 220C/200F/Gas 7.
Carefully place the aubergine and the pepper against an open hob gas flame, carefully turning regularly with tongs until the skin is blackened and blistered and the vegetables are soft. You can also do this under a very hot grill or barbecue, keeping very close to the heat and turning the vegetables every few minutes.
Place the vegetables in a heat-proof bowl, cover with a plate and leave for 3–4 minutes or until cool enough to handle. Remove the pepper skin and discard. Cut the pepper in half, remove the stem and scoop out the seeds. Cut the flesh into roughly 2cm/¾in chunks and put into a serving bowl.
Put the aubergine on a chopping board, trim the ends and discard most of the skin. Leaving some on will give the salad a smoky flavour. Cut the aubergine into roughly 2cm/¾in chunks and add to the pepper.
Put the parsley, garlic, olive oil and salt into a blender and pulse to make a thin dressing. Spread 1 teaspoon of the herb dressing over one side of each slice of bread and place on a baking tray, herb side up. Drizzle with a little oil and bake for 10 minutes, or until the bread is golden-brown and crisp around the edges.
Drizzle the rest of the dressing over the vegetables, add the lemon juice, season with ground black pepper and a little more salt if needed and toss together.
Sprinkle roughly chopped parsley over the salad and serve with the garlic toasts.",11.8815,62.7405,64.09,850.6,3542.9,171.105,136.225,3.5471,2,44.33875,39.41222222,32.24636364,23.64733333,32.24636364,39.41222222,39.41222222,51.40724638,58.14918033,40.77126437,31.39026549,40.77126437,23.96689189,40.77126437
Basil and parsley-dressed pasta,https://spoonacular.com/recipeImages/1096053-312x231.jpg,"Place the chopped herbs in a bowl with the olive oil and season with salt and freshly ground black pepper. Leave to infuse.
Cook the pasta according to the instructions on the packet. When the pasta is cooked, drain and stir in the oil and herbs. Serve immediately.",19.607,33.2165,117.015,816.4,3435.55,235.915,71.3,7.89455,1,98.681875,87.71722222,71.76863636,52.63033333,71.76863636,87.71722222,87.71722222,114.4137681,129.4188525,90.74195402,69.86327434,90.74195402,53.34155405,90.74195402
Bean soup with vegan pesto,https://spoonacular.com/recipeImages/632003-312x231.jpg,"First make the pesto. Put all the pesto ingredients in a food processor and blend until it forms a vibrant green paste with a little crunch. Adjust the seasoning to taste. Set aside.
To make the soup, heat the oil in a large saucepan or flameproof casserole and gently fry the onion, celery, courgette and carrots for 10 minutes, stirring occasionally. Add the garlic and cook for a few seconds more, stirring.
Tip the beans into the pan, add the vegetable stock and bring to a simmer. Cook for 5 minutes, then adjust the seasoning to taste and ladle into bowls.
Top with spoonfuls of the basil pesto to serve.",13.633875,32.35925,24.283875,421.8025,1755.82875,165.94375,6.40125,3.9831,4,49.78875,44.25666667,36.21,26.554,36.21,44.25666667,44.25666667,57.72608696,65.29672131,45.78275862,35.24867257,45.78275862,26.91283784,45.78275862
Beetroot hummus,https://cdn.pixabay.com/photo/2015/09/11/21/16/beetroot-936429_1280.jpg,"Toast the cumin seeds gently in a small dry frying pan for 2 minutes, stirring occasionally, then remove from the heat.
Put the beetroot, chickpeas, garlic, coriander, salt and olive oil in a food processor. Add the cumin seeds and lemon juice and season well with freshly ground black pepper. Blitz until smooth. Check the seasoning to taste, adding a little more salt, pepper or lemon juice if needed, and blitz again.
Use the hummus as a spread for sandwiches and wraps or as a dip. Keep covered in the fridge for up to 3 days, or freeze.",9.685875,14.757,27.830625,269.55,1129.29375,93.255,5.76,3.0159,8,37.69875,33.51,27.41727273,20.106,27.41727273,33.51,33.51,43.70869565,49.44098361,34.66551724,26.68938053,34.66551724,20.3777027,34.66551724
Bruschetta with tomato and red onion,https://spoonacular.com/recipeImages/658655-312x231.jpg,"Heat a griddle pan and rub the bread with olive oil. Place the bread onto the griddle and cook for two minutes on each side, or until toasted.
For the topping, place the red onion, tomatoes and olive oil into a bowl and mix well.
Add the parsley and season, to taste, with salt and freshly ground black pepper.
To serve, place the toasted bread on the plate and spoon over the topping.",8.259,16.5875,45.58,352.61,1479.64,185.925,20.4,2.48705,1,31.088125,27.63388889,22.60954545,16.58033333,22.60954545,27.63388889,27.63388889,36.0442029,40.77131148,28.58678161,22.00929204,28.58678161,16.80439189,28.58678161
Cape Malay vegetarian curry,https://spoonacular.com/recipeImages/641958-312x231.jpg,"Toast the spices in a dry frying pan over a low heat. Grind in a spice grinder or pestle and mortar. Place in a jar and seal tightly with a lid ready to use.
Put the dried apricots in a bowl of warm water for 10 minutes, or until rehydrated. Drain, cut into thin slices and set aside.
Heat the oil in a frying pan over a medium heat. Add the onions, peppers and garlic and fry for 10 minutes, or until soft.
Stir in a tablespoon of the spice mix. Add the cauliflower, chickpeas and green beans. Carefully pour in a little boiling water and simmer for 10–15 minutes, or until soft.
Meanwhile, cook the rice according to the packet instructions.
Stir the dried apricots and chutney into the curry and sprinkle over the parsley. Serve with the rice and flatbreads.",24.8535,9.32775,157.66225,764.165,3246.3825,294.005,159.9075,8.409175,4,105.1146875,93.43527778,76.44704545,56.06116667,76.44704545,93.43527778,93.43527778,121.8721014,137.8553279,96.65718391,74.41747788,96.65718391,56.81875,96.65718391
Chickpea pasta (Ciceri e tria),https://cdn.pixabay.com/photo/2015/11/23/09/17/hummus-1057998_1280.jpg,"Put the chickpeas, garlic, leek, celery, onion, cherry tomatoes, dried chilli and rosemary in a large saucepan and cover with water. Bring to the boil and simmer for about an hour, or until the chickpeas are tender.
Meanwhile, to make the pasta, tip the semolina, flour and a pinch of salt into a food processor and blend while slowly adding up to 150ml/5fl oz water until you have a soft dough.
Knead the dough lightly then divide into four balls and pass each piece through a pasta machine slowly, changing the setting until it gets to number six. Cut each strip into 10cm/4in lengths about 2cm/1in thick, then toss in semolina flour and set aside on a tray.
Preheat a sandwich maker to high. One at a time, put the broccoli, leek and kale into the sandwich maker and char. Once all the vegetables are cooked, transfer to a bowl, add the oil and vinegar and season with salt and pepper. Set aside.
To make the sauce, remove the garlic, leeks, celery, onions, tomatoes and chilli from the chickpea pan and blend with 100ml/3½fl oz of the cooking water to a smooth paste. Drain the chickpeas and coat in the sauce.
Heat the olive oil in a deep saucepan and fry the garlic, rosemary and chilli until the garlic turns golden-brown. Remove from the pan, tip in a third of the pasta strips and fry until crisp and golden-brown. Drain on kitchen paper.
Bring a large pan of salted water to the boil and cook the rest of the pasta for 3–5 minutes, or until al dente. Drain and stir through the chickpea sauce. Season with salt and pepper and stir through some extra virgin olive oil, the parsley and half the fried pasta. Transfer to a serving dish and top with the remaining fried pasta. Serve with the chargrilled vegetables.",17.033125,50.097,76.955375,807.29,3374.59125,171.84125,87.594375,4.1943875,4,52.42984375,46.60430556,38.13079545,27.96258333,38.13079545,46.60430556,46.60430556,60.78822464,68.76045082,48.21135057,37.11847345,48.21135057,28.34045608,48.21135057
Couscous salad,https://spoonacular.com/recipeImages/1096185-312x231.jpg,"Cover the couscous with twice its volume of hot water and leave to soak for 10 minutes.
Mix together with the remaining ingredients and leave to stand for 30 minutes to let the flavours develop.
Serve at room temperature.",5.292833333,15.93691667,16.44916667,226.0833333,943.0583333,69.89416667,15.14166667,1.865341667,6,23.31677083,20.72601852,16.95765152,12.43561111,16.95765152,20.72601852,20.72601852,27.0339372,30.57937158,21.44070881,16.50744838,21.44070881,12.60365991,21.44070881
